t,log_trend
2013-09-30,10.163052363398549
2013-10-01,10.164387380181232
2013-10-02,10.166184689018168
2013-10-03,10.16859768484072
2013-10-04,10.17114365531201
2013-10-05,10.173979212707113
2013-10-06,10.176226894409682
2013-10-07,10.177763939700956
2013-10-08,10.179142707959393
2013-10-09,10.180110645340786
2013-10-10,10.181135715584853
2013-10-11,10.18226942966847
2013-10-12,10.183059163908947
2013-10-13,10.183607717417159
2013-10-14,10.184142027764219
2013-10-15,10.184619104574452
2013-10-16,10.184995600444475
2013-10-17,10.185310845157677
2013-10-18,10.185320815981095
2013-10-19,10.185008590280425
2013-10-20,10.184518673185357
2013-10-21,10.183789222912567
2013-10-22,10.182391806042375
2013-10-23,10.180284264972197
2013-10-24,10.17760975699026
2013-10-25,10.174232409292392
2013-10-26,10.17041564280808
2013-10-27,10.16614699392455
2013-10-28,10.161155009900787
2013-10-29,10.155468018829815
2013-10-30,10.150277035404395
2013-10-31,10.145660702455235
2013-11-01,10.14106599211925
2013-11-02,10.13681989371792
2013-11-03,10.13212176074642
2013-11-04,10.126913517957966
2013-11-05,10.121878988771234
2013-11-06,10.116848379200027
2013-11-07,10.114058761301788
2013-11-08,10.113853607208071
2013-11-09,10.115082729575501
2013-11-10,10.118423748159334
2013-11-11,10.122774099759145
2013-11-12,10.128090804078502
2013-11-13,10.135524416677155
2013-11-14,10.144863460279055
2013-11-15,10.150565411789911
2013-11-16,10.152353650951774
2013-11-17,10.152788704390701
2013-11-18,10.150388792093937
2013-11-19,10.148699433532853
2013-11-20,10.147941995254918
2013-11-21,10.14504686520574
2013-11-22,10.140741077055454
2013-11-23,10.138025557619427
2013-11-24,10.136790124037155
2013-11-25,10.136088103577338
2013-11-26,10.136634519675331
2013-11-27,10.135850834632704
2013-11-28,10.13360224794856
2013-11-29,10.131751528624802
2013-11-30,10.12972299959576
2013-12-01,10.127896172742439
2013-12-02,10.126502557377659
2013-12-03,10.124943197466994
2013-12-04,10.123367724187347
2013-12-05,10.12201359640785
2013-12-06,10.120833439422423
2013-12-07,10.119847223823998
2013-12-08,10.119103754288677
2013-12-09,10.118251930379975
2013-12-10,10.117286012957099
2013-12-11,10.11641918267882
2013-12-12,10.115573799266606
2013-12-13,10.114952794552536
2013-12-14,10.114592793214682
2013-12-15,10.114339300007968
2013-12-16,10.114250520457372
2013-12-17,10.113800086249046
2013-12-18,10.11292460941571
2013-12-19,10.11192101114493
2013-12-20,10.110638066958163
2013-12-21,10.10936122843264
2013-12-22,10.108114863329066
2013-12-23,10.106622405767625
2013-12-24,10.104941956533828
2013-12-25,10.103833244094364
2013-12-26,10.103333483529312
2013-12-27,10.103121184490659
2013-12-28,10.103399792475319
2013-12-29,10.103657123872207
2013-12-30,10.103867542745752
2013-12-31,10.104463099033872
2014-01-01,10.105338784277395
2014-01-02,10.107154078089758
2014-01-03,10.110031810194176
2014-01-04,10.113593770255278
2014-01-05,10.118045758254157
2014-01-06,10.123123623392688
2014-01-07,10.128815900640195
2014-01-08,10.135439903251264
2014-01-09,10.142949582102554
2014-01-10,10.148562461381902
2014-01-11,10.152101296024023
2014-01-12,10.15488745386744
2014-01-13,10.156170451573386
2014-01-14,10.157651778136024
2014-01-15,10.159427682864523
2014-01-16,10.159990557421763
2014-01-17,10.159682682235399
2014-01-18,10.159941271565149
2014-01-19,10.16068914847324
2014-01-20,10.161448664620643
2014-01-21,10.162545116414561
2014-01-22,10.16272835475761
2014-01-23,10.161918483750851
2014-01-24,10.160988795365624
2014-01-25,10.159646311892603
2014-01-26,10.15728202715751
2014-01-27,10.153901795864225
2014-01-28,10.149553472600758
2014-01-29,10.144051513269964
2014-01-30,10.137924234650077
2014-01-31,10.131134319671844
2014-02-01,10.123218595078322
2014-02-02,10.114237823549672
2014-02-03,10.10759610548335
2014-02-04,10.103615193896896
2014-02-05,10.10074703855696
2014-02-06,10.099969326387107
2014-02-07,10.09913647681703
2014-02-08,10.098147014591296
2014-02-09,10.098942174754235
2014-02-10,10.101100689187087
2014-02-11,10.101534291579975
2014-02-12,10.100228475117605
2014-02-13,10.098399971398779
2014-02-14,10.095272284524555
2014-02-15,10.093198434235259
2014-02-16,10.092330300084368
2014-02-17,10.090849410437126
2014-02-18,10.089278338569198
2014-02-19,10.088705091849652
2014-02-20,10.089036835021489
2014-02-21,10.090134224011274
2014-02-22,10.092255197320629
2014-02-23,10.094328320270344
2014-02-24,10.096349402350798
2014-02-25,10.099072834951455
2014-02-26,10.102282814400711
2014-02-27,10.101880914387111
2014-02-28,10.097530092315301
2014-03-01,10.090982018236227
2014-03-02,10.081002673250698
2014-03-03,10.070145337613916
2014-03-04,10.058470249051377
2014-03-05,10.0434687056255
2014-03-06,10.025503371518376
2014-03-07,10.01410348581136
2014-03-08,10.010074681208504
2014-03-09,10.0092375025011
2014-03-10,10.014222641279444
2014-03-11,10.018669118279929
2014-03-12,10.022261107903082
2014-03-13,10.030385786504029
2014-03-14,10.041690116635252
2014-03-15,10.048623738798973
2014-03-16,10.051266800687582
2014-03-17,10.052410202188073
2014-03-18,10.050188506218692
2014-03-19,10.05035934012183
2014-03-20,10.05322029682098
2014-03-21,10.054333100494175
2014-03-22,10.054944152226282
2014-03-23,10.056128439569605
2014-03-24,10.057474984559226
2014-03-25,10.059327699631229
2014-03-26,10.0618431818435
2014-03-27,10.063279661867801
2014-03-28,10.063631265214699
2014-03-29,10.063865174598861
2014-03-30,10.06359444121451
2014-03-31,10.06267832706158
2014-04-01,10.06115059212614
2014-04-02,10.058765106760479
2014-04-03,10.055453338527597
2014-04-04,10.051516757287969
2014-04-05,10.046876762008045
2014-04-06,10.041276793730438
2014-04-07,10.034719811928854
2014-04-08,10.031154544459206
2014-04-09,10.03095843271615
2014-04-10,10.032259832516383
2014-04-11,10.036164031081483
2014-04-12,10.040253607629305
2014-04-13,10.044404956215786
2014-04-14,10.050777465573564
2014-04-15,10.058872485941734
2014-04-16,10.063875304558449
2014-04-17,10.065673166081549
2014-04-18,10.066275669994381
2014-04-19,10.064437083364274
2014-04-20,10.063521878315816
2014-04-21,10.063719861788963
2014-04-22,10.062280056456398
2014-04-23,10.05991111772851
2014-04-24,10.058520823398732
2014-04-25,10.057951256902667
2014-04-26,10.057773585547418
2014-04-27,10.058421423505413
2014-04-28,10.058060930309244
2014-04-29,10.05662114339863
2014-04-30,10.05536231249604
2014-05-01,10.053878577090957
2014-05-02,10.049589645979355
2014-05-03,10.042313128758696
2014-05-04,10.032905941356178
2014-05-05,10.02055336431415
2014-05-06,10.00701467772476
2014-05-07,9.99225795780638
2014-05-08,9.974538267016301
2014-05-09,9.954045607490658
2014-05-10,9.945725120691137
2014-05-11,9.951131205458907
2014-05-12,9.963332226335739
2014-05-13,9.986159839648716
2014-05-14,10.010348986562764
2014-05-15,10.035430978516759
2014-05-16,10.068768083510175
2014-05-17,10.108065116962834
2014-05-18,10.116360968532945
2014-05-19,10.09170009619374
2014-05-20,10.049334279152305
2014-05-21,9.975187547355421
2014-05-22,9.891248803859742
2014-05-23,9.796839721337278
2014-05-24,9.657180628883006
2014-05-25,9.460268520949194
2014-05-26,9.456759602427807
2014-05-27,9.66454684143938
2014-05-28,9.916838883132138
2014-05-29,10.212878893308924
2014-05-30,10.454912563768211
2014-05-31,10.658989448431589
2014-06-01,10.87097702052764
2014-06-02,11.07435180362488
2014-06-03,11.197176826596001
2014-06-04,11.260055686219715
2014-06-05,11.301662914914893
2014-06-06,11.307327460098108
2014-06-07,11.32167427869436
2014-06-08,11.346554189702227
2014-06-09,11.346432078320246
2014-06-10,11.33012930700695
2014-06-11,11.325421024876922
2014-06-12,11.330384128087488
2014-06-13,11.337244730569928
2014-06-14,11.352139282747844
2014-06-15,11.349490329450203
2014-06-16,11.327800802364834
2014-06-17,11.304301091481264
2014-06-18,11.272585112359252
2014-06-19,11.263130344502121
2014-06-20,11.281331503932972
2014-06-21,11.30749987000093
2014-06-22,11.349427454249545
2014-06-23,11.393599731891602
2014-06-24,11.438534663330682
2014-06-25,11.495865078721081
2014-06-26,11.561581709836275
2014-06-27,11.60386640110356
2014-06-28,11.624233239412296
2014-06-29,11.637132501056557
2014-06-30,11.635140565221544
2014-07-01,11.638251942401705
2014-07-02,11.647663080567757
2014-07-03,11.646991595028588
2014-07-04,11.640463189910772
2014-07-05,11.639337804718986
2014-07-06,11.642656531093342
2014-07-07,11.647872007083903
2014-07-08,11.657463000700915
2014-07-09,11.660790472765239
2014-07-10,11.657512827959852
2014-07-11,11.654894655046531
2014-07-12,11.650585162595045
2014-07-13,11.647830590061007
